sessionId,kwhTotal,dollars,created,ended,startTime,endTime,Charge Duration (h),Day,platform,distance,userId,stationId,locationId,managerVehicle,facilityType,Facility Type
1366563,7.78,0.0,0014-11-18 15:40:26,0014-11-18 17:11:04,15,17,1.51,Tue,android,,35897499,582873,461655,0,3,R&D
3075723,9.74,0.0,0014-11-19 17:40:26,0014-11-19 19:51:04,17,19,2.18,Wed,android,,35897499,549414,461655,0,3,R&D
4228788,6.76,0.58,0014-11-21 12:05:46,0014-11-21 16:46:04,12,16,4.67,Fri,android,,35897499,129465,461655,0,3,R&D
3173284,6.17,0.0,0014-12-03 19:16:12,0014-12-03 21:02:18,19,21,1.77,Wed,android,,35897499,569889,461655,0,3,R&D
3266500,0.93,0.0,0014-12-11 20:56:11,0014-12-11 21:14:06,20,21,0.3,Thu,android,,35897499,414088,566549,0,3,R&D
4099366,2.14,0.0,0014-12-12 14:38:44,0014-12-12 15:04:04,14,15,0.42,Fri,android,,35897499,911231,202527,0,3,R&D
5084244,0.3,0.0,0014-12-12 15:08:40,0014-12-12 15:47:04,15,15,0.64,Fri,android,,35897499,920264,461655,0,3,R&D
2948436,1.82,0.0,0014-12-17 20:30:25,0014-12-17 21:31:04,20,21,1.01,Wed,android,,35897499,431796,461655,0,3,R&D
3515913,0.81,0.0,0014-12-18 17:53:19,0014-12-18 18:04:04,17,18,0.18,Thu,android,,35897499,134427,620906,0,3,R&D
8490014,1.98,0.0,0014-12-18 18:06:49,0014-12-18 18:30:05,18,18,0.39,Thu,android,,35897499,207262,928191,0,3,R&D
7075912,4.56,0.0,0014-12-18 18:31:54,0014-12-18 20:57:04,18,20,2.42,Thu,android,,35897499,280221,976902,0,3,R&D
5226095,2.05,0.0,0014-12-19 14:30:37,0014-12-19 15:12:04,14,15,0.69,Fri,android,,35897499,371335,461655,0,3,R&D
9342496,5.3,0.0,0015-01-07 17:52:53,0015-01-07 20:54:03,17,20,3.02,Wed,android,,35897499,405157,976902,0,3,R&D
1853945,0.0,0.0,0015-01-09 13:59:09,0015-01-09 14:21:03,13,14,0.36,Fri,android,,35897499,355208,976902,0,3,R&D
2113485,7.85,0.5,0015-01-12 17:39:36,0015-01-12 21:48:04,17,21,4.14,Mon,android,,35897499,944575,928191,0,3,R&D
7492587,8.49,0.0,0015-01-16 17:23:35,0015-01-16 19:03:04,17,19,1.66,Fri,android,,35897499,582873,461655,0,3,R&D
1111437,7.52,0.0,0015-01-16 19:04:38,0015-01-16 21:14:04,19,21,2.16,Fri,android,,35897499,500856,976902,0,3,R&D
4716378,5.38,0.0,0015-01-21 18:01:25,0015-01-21 20:19:04,18,20,2.29,Wed,android,,35897499,250527,976902,0,3,R&D
4187340,3.42,0.0,0015-01-29 16:34:34,0015-01-29 17:25:05,16,17,0.84,Thu,android,,35897499,623134,620906,0,3,R&D
7934936,0.09,0.0,0015-01-30 18:47:08,0015-01-30 18:49:04,18,18,0.03,Fri,android,,35897499,801274,976902,0,3,R&D
7073357,12.14,0.0,0015-01-30 19:50:01,0015-01-30 21:58:04,19,21,2.13,Fri,android,,35897499,801274,976902,0,3,R&D
3002716,11.74,0.0,0015-02-03 18:59:54,0015-02-03 21:53:04,18,21,2.89,Tue,android,,35897499,280221,976902,0,3,R&D
2995135,2.48,0.0,0015-02-12 16:17:52,0015-02-12 18:44:05,16,18,2.44,Thu,android,,35897499,236840,620906,0,3,R&D
5011218,4.65,0.0,0015-02-16 13:42:45,0015-02-16 15:13:05,13,15,1.51,Mon,android,,35897499,250527,976902,0,3,R&D
8554662,6.29,0.0,0015-02-16 18:36:12,0015-02-16 21:43:05,18,21,3.11,Mon,android,,35897499,207262,928191,0,3,R&D
8052184,3.1,0.0,0015-02-19 15:43:20,0015-02-19 16:19:05,15,16,0.6,Thu,android,,35897499,728918,928191,0,3,R&D
6178541,20.95,0.0,0015-02-19 18:09:36,0015-02-19 21:49:06,18,21,3.66,Thu,android,,35897499,944575,928191,0,3,R&D
8499802,8.26,0.0,0015-02-24 18:22:35,0015-02-24 21:50:13,18,21,3.46,Tue,android,,35897499,944515,976902,0,3,R&D
8259939,17.95,0.0,0015-02-26 18:01:30,0015-02-26 21:34:07,18,21,3.54,Thu,android,,35897499,280221,976902,0,3,R&D
2032051,3.02,0.0,0015-02-28 20:51:30,0015-02-28 21:34:05,20,21,0.71,Sat,android,,35897499,569889,461655,0,3,R&D
7357133,7.84,0.92,0015-03-03 16:35:54,0015-03-03 21:33:05,16,21,4.95,Tue,android,,35897499,355208,976902,0,3,R&D
6032746,0.88,0.0,0015-03-04 19:21:13,0015-03-04 19:42:04,19,19,0.35,Wed,android,,35897499,920264,461655,0,3,R&D
4072758,4.56,0.0,0015-03-04 19:46:25,0015-03-04 21:56:05,19,21,2.16,Wed,android,,35897499,280221,976902,0,3,R&D
6830717,2.11,0.0,0015-03-05 14:32:51,0015-03-05 16:02:05,14,16,1.49,Thu,android,,35897499,878706,461655,0,3,R&D
6455251,11.48,0.0,0015-03-05 19:49:11,0015-03-05 21:49:05,19,21,2.0,Thu,android,,35897499,944515,976902,0,3,R&D
5376208,10.52,0.0,0015-03-06 18:11:57,0015-03-06 21:53:05,18,21,3.69,Fri,android,,35897499,355208,976902,0,3,R&D
2914893,9.61,0.0,0015-03-09 17:43:30,0015-03-09 20:45:11,17,20,3.03,Mon,android,,35897499,250527,976902,0,3,R&D
5224755,7.24,0.0,0015-03-12 17:39:53,0015-03-12 21:28:05,17,21,3.8,Thu,android,,35897499,355208,976902,0,3,R&D
8450261,12.96,0.0,0015-03-13 12:16:44,0015-03-13 16:02:05,12,16,3.76,Fri,android,,35897499,280221,976902,0,3,R&D
9731366,9.17,0.0,0015-03-16 17:37:01,0015-03-16 20:40:15,17,20,3.05,Mon,android,,35897499,280221,976902,0,3,R&D
9473434,19.01,0.0,0015-03-18 18:30:08,0015-03-18 21:49:04,18,21,3.32,Wed,android,,35897499,207262,928191,0,3,R&D
2817985,0.04,0.0,0015-03-19 11:19:05,0015-03-19 11:21:05,11,11,0.03,Thu,android,,35897499,280221,976902,0,3,R&D
5820347,9.52,0.0,0015-03-19 17:40:19,0015-03-19 19:35:12,17,19,1.91,Thu,android,,35897499,738900,976902,0,3,R&D
5338238,6.6,0.0,0015-03-20 12:20:47,0015-03-20 13:45:07,12,13,1.41,Fri,android,,35897499,738900,976902,0,3,R&D
3192864,4.62,0.0,0015-03-23 17:14:59,0015-03-23 18:24:05,17,18,1.15,Mon,android,,35897499,280221,976902,0,3,R&D
9813434,3.83,0.0,0015-03-26 11:02:58,0015-03-26 11:56:05,11,11,0.89,Thu,android,,35897499,405157,976902,0,3,R&D
6362922,1.07,0.0,0015-03-26 13:51:03,0015-03-26 14:13:05,13,14,0.37,Thu,android,,35897499,594591,461655,0,3,R&D
3910417,7.32,0.0,0015-03-26 17:08:34,0015-03-26 18:40:12,17,18,1.53,Thu,android,,35897499,738900,976902,0,3,R&D
9537925,13.5,0.0,0015-03-27 12:48:06,0015-03-27 15:21:05,12,15,2.55,Fri,android,,35897499,801274,976902,0,3,R&D
5688787,4.71,0.0,0015-03-27 16:47:37,0015-03-27 17:52:06,16,17,1.07,Fri,android,,35897499,250527,976902,0,3,R&D
2189714,5.58,0.0,0015-03-30 14:59:15,0015-03-30 16:14:05,14,16,1.25,Mon,android,,35897499,405157,976902,0,3,R&D
9009117,0.78,0.0,0015-03-30 16:27:37,0015-03-30 16:42:05,16,16,0.24,Mon,android,,35897499,612116,461655,0,3,R&D
6241251,4.1,0.0,0015-03-31 16:42:17,0015-03-31 17:44:05,16,17,1.03,Tue,android,,35897499,250527,976902,0,3,R&D
4027242,0.03,0.0,0015-04-01 17:02:50,0015-04-01 17:04:06,17,17,0.02,Wed,android,,35897499,250527,976902,0,3,R&D
1534730,16.2,0.0,0015-04-02 17:02:59,0015-04-02 19:59:04,17,19,2.93,Thu,android,,35897499,250527,976902,0,3,R&D
4970729,7.73,0.0,0015-04-06 17:03:01,0015-04-06 18:42:05,17,18,1.65,Mon,android,,35897499,355208,976902,0,3,R&D
5850084,7.04,0.0,0015-04-07 12:06:00,0015-04-07 14:40:07,12,14,2.57,Tue,android,,35897499,355208,976902,0,3,R&D
5503753,2.13,0.0,0015-04-07 17:30:24,0015-04-07 18:20:07,17,18,0.83,Tue,android,,35897499,728918,928191,0,3,R&D
8356365,6.51,0.0,0015-04-08 12:30:53,0015-04-08 14:50:08,12,14,2.32,Wed,android,,35897499,549414,461655,0,3,R&D
7116934,6.67,0.5,0015-04-09 11:14:09,0015-04-09 15:19:05,11,15,4.08,Thu,android,,35897499,405157,976902,0,3,R&D
4303750,5.47,0.0,0015-04-09 17:00:24,0015-04-09 18:58:05,17,18,1.96,Thu,android,,35897499,280221,976902,0,3,R&D
7027707,7.71,0.0,0015-04-15 15:35:19,0015-04-15 19:17:05,15,19,3.7,Wed,android,,35897499,250527,976902,0,3,R&D
4268564,7.3,0.0,0015-04-20 17:29:12,0015-04-20 21:01:05,17,21,3.53,Mon,android,,35897499,944575,928191,0,3,R&D
7120657,7.88,0.0,0015-04-21 16:04:18,0015-04-21 19:26:06,16,19,3.36,Tue,android,,35897499,738900,976902,0,3,R&D
7620374,3.79,0.5,0015-04-22 11:36:23,0015-04-22 15:45:13,11,15,4.15,Wed,android,,35897499,738900,976902,0,3,R&D
8539198,1.93,0.0,0015-04-22 16:24:12,0015-04-22 17:24:05,16,17,1.0,Wed,android,,35897499,207262,928191,0,3,R&D
9402479,6.11,0.0,0015-04-27 16:22:52,0015-04-27 18:23:06,16,18,2.0,Mon,android,,35897499,728918,928191,0,3,R&D
